source,target,type,weight
_path_,healthpartners-international,downstream,1
aaik,lcd_admin,downstream,1
aaik,vso,downstream,1
aauk,aab,downstream,1
aauk,aac,downstream,1
aauk,aag,downstream,1
aauk,aai,downstream,1
aauk,aaik,downstream,1
aauk,aar,downstream,1
acf,acf-fr,downstream,2
acf,acfspain,downstream,1
acf,dec-uk,downstream,1
ageintl,dec-uk,downstream,1
ageintl,fca,downstream,1
ageintl,helpage_international,downstream,3
akfuk73,akf_afghanistan,downstream,1
akfuk73,crs,downstream,1
amrefnl,amrefeth,downstream,2
amrefnl,amrefhq,downstream,1
amrefnl,amrefkenya,downstream,2
amrefnl,amrefmw,downstream,2
amrefnl,amrefug,downstream,1
amrefnl,awa_sn,downstream,1
amrefnl,cfyas,downstream,1
amrefnl,hai,downstream,2
amrefnl,rutgers,downstream,1
amrefnl,wemos,downstream,1
appro-eu,appro-af,downstream,1
asil,timidria,downstream,1
bond,sinda,downstream,1
bothends,aanl,downstream,1
bothends,ccc,downstream,1
bothends,foenl,downstream,1
bothends,itforchange,downstream,1
bothends,samdhana_institute,downstream,1
bothends,somo,downstream,1
bothends,tni,downstream,1
bpcrs,uoe,downstream,1
britishcouncil,fcdo,downstream,1
britishcouncil,pwc,downstream,1
britishcouncil,sddirect,downstream,1
cbm,fhfuk,downstream,1
childhopeuk,fcdo,downstream,2
childhopeuk,gecfundmanagerpwc,downstream,1
cocnl_publisher,ilgaasia,downstream,1
cocnl_publisher,pai155669,downstream,1
concern_worldwide,fcdo,downstream,2
concern_worldwide,goal,downstream,1
concern_worldwide,manniondaniels,downstream,4
concernuk,concern_worldwide,downstream,159
cordaid,carenederland,downstream,3
cordaid,dai,downstream,1
cordaid,icco-cooperation,downstream,5
cordaid,onl,downstream,6
cordaid,plannlno,downstream,5
cordaid,scnl,downstream,5
cordaid,sosnl,downstream,4
cordaid,st_vluchteling,downstream,9
cordaid,tdh_nl,downstream,3
cordaid,tear,downstream,3
cordaid,tlo,downstream,1
cordaid,warchildholland,downstream,4
cordaid,wipc,downstream,1
cordaid,wvnld,downstream,11
cordaid,zoa,downstream,5
cr,cr,downstream,1
crane,bucksfarm,downstream,1
crane,mukisa_foundation,downstream,1
crb-ai_admin,rkiv,downstream,1
creausa-org,ad,downstream,1
creausa-org,iwrawasiapacific,downstream,1
crs,cafod,downstream,1
dai,carenederland,downstream,1
dai,cordaid,downstream,4
dai,minbuza_nl,downstream,1
dai,scnl,downstream,4
dai,st_vluchteling,downstream,1
dai,tear,downstream,1
dai,wvnld,downstream,1
ddp,dhrc_nepal,downstream,2
drc,irc_inc,downstream,1
drc,irc_uk,downstream,2
emms,dgmh,downstream,1
emms,mmh,downstream,1
emms,pcst,downstream,1
et-adf-0317,zoa,downstream,1
f2a,mm1,downstream,1
fca,ageintl,downstream,1
fcam,bothends,downstream,1
fcam,mamac,downstream,1
fcdo,ciuk,downstream,1
fcdo,fcdo,downstream,3
fcdo,fhi360,downstream,1
fcdo,healthpartners-international,downstream,1
